All,NONE
right,NONE
",",NONE
zet,NONE
u,NONE
erbij,NONE
.,NONE
Misschien,NONE
kort,NONE
wat,NONE
vraagjes,VKW
eerst,NONE
.,NONE
Moet,NONE
misschien,NONE
zelf,NONE
",",NONE
uzelf,NONE
kort,NONE
voorstellen,NONE
",",NONE
u,NONE
naam,NONE
",",NONE
u,NONE
studierichting,NONE
",",NONE
waarom,NONE
dat,NONE
je,NONE
de,NONE
richting,NONE
gekozen,NONE
hebt,NONE
en,NONE
waar,NONE
je,NONE
graag,NONE
zou,NONE
gaan,NONE
werken,NONE
en,NONE
wat,NONE
u,NONE
toekomstplannen,NONE
zijn,NONE
.,NONE
Oké,TSW
",",NONE
ik,NONE
ben,NONE
Lorie,NONE
Van,NONE
Wijnsberge,NONE
",",NONE
ik,NONE
ben,NONE
21,NONE
jaar,NONE
",",NONE
ik,NONE
heb,NONE
eerst,NONE
criminologie,NONE
gedaan,NONE
",",NONE
ben,NONE
overgeschakeld,NONE
omdat,NONE
dat,NONE
eigenlijk,NONE
totaal,NONE
niet,NONE
mijn,NONE
ding,NONE
was,NONE
naar,NONE
verpleegkunde,NONE
waar,NONE
dat,NONE
ik,NONE
merk,NONE
dat,NONE
het,NONE
volledig,NONE
mijn,NONE
ding,NONE
is,NONE
.,NONE
Ik,NONE
ben,NONE
een,NONE
zeer,NONE
zorgzaam,NONE
persoon,NONE
",",NONE
ik,NONE
help,NONE
mensen,NONE
super,NONE
graag,NONE
",",NONE
vandaar,NONE
dat,NONE
het,NONE
een,NONE
logische,NONE
overstap,NONE
was,NONE
uiteindelijk,NONE
.,NONE
Wat,NONE
dat,NONE
ik,NONE
graag,NONE
later,NONE
zou,NONE
doen,NONE
",",NONE
de,NONE
meeste,NONE
verpleegkundigen,NONE
zouden,NONE
zo,NONE
spoed,NONE
en,NONE
al,NONE
willen,NONE
doen,NONE
",",NONE
dat,NONE
is,NONE
minder,NONE
mijn,NONE
interesse,NONE
.,NONE
Ik,NONE
heb,NONE
op,NONE
een,NONE
woonzorgcentrum,NONE
gestaan,NONE
op,NONE
stage,NONE
